City Coordinates
================

Beacon: x=821, y=339
Vanderhold: x=877, y=897
Anchorhorn: x=1001, y=669
Caelmarisport: x=492, y=225
Castleforge: x=1042, y=57
Aspengeld: x=493, y=93
Esemere: x=698, y=954
Fang Cove: x=1132, y=541
Foundleinfall: x=1468, y=463
Freehold: x=284, y=911
Lastport: x=720, y=623
Oasimere: x=687, y=859
Tranquil Valley: x=565, y=847
Hourglass: x=793, y=764
Westhaven: x=231, y=696
Stormcliff: x=499, y=507
The Nest: x=1289, y=968
Oasirath: x=1321, y=799
SunDrak: x=1317, y=421
Aurelion: x=659, y=219
Preservation: x=1188, y=129
Outreach: x=1258, y=312
Dawnguard: x=636, y=503
Riverscrown: x=916, y=538
Rosewood: x=712, y=433
Crownhill: x=797, y=483
Rivercross: x=372, y=677
Mountpass: x=409, y=649
Shadowstone: x=681, y=681
Newhaven: x=403, y=756
Pleasant Valley: x=333, y=772
Desert: x=359, y=813
Portsmith: x=989, y=404
Athran Point: x=466, y=339
Whitewake: x=694, y=40
Cape Saffar: x=1032, y=177
North Castleport: x=969, y=295
Foreharrow: x=629, y=339
Centerpoint: x=705, y=338
Bayview Landing: x=846, y=639
Frosthall: x=826, y=89
Ganymede: x=866, y=182
Druidian: x=551, y=704
Dragon Isle: x=1015, y=818
Desert: x=1176, y=734
Booty Bay: x=1413, y=910
Throgarthrum: x=1401, y=586
Ogrilswake: x=1330, y=649
Krakensmaw: x=1418, y=678
Slumber Hall: x=1098, y=860
Eternal Valley: x=1262, y=871
Lakefall: x=1352, y=247
Anchor Point: x=1510, y=349
Last Refuge: x=1312, y=160
Urdred: x=1184, y=237
Bayview Castle: x=705, y=558
Constantine: x=922, y=142
Southport: x=521, y=440
Zugmurah: x=1325, y=519
