TRIOKA INTERACTIVE MAP REPORT

Locations file: D:\Coding Projects\Interactive Map - Trioka 2026\src\data\locations.js
Portrait folder: D:\Coding Projects\Interactive Map - Trioka 2026\public\portraits

============================================================
SUMMARY
============================================================
Total cities: 59
Capital cities: 10
Major cities: 49
Port cities: 23
Capital port cities: 2

============================================================
CITIES STILL USING UNDER CONSTRUCTION
============================================================
- Crownhill (crownhill)
- Rivercross (rivercross)
- Newhaven (newhaven)
- Pleasant Valley (pleasant-valley)
- Desert's Edge (deserts-edge)
- Bayview Landing (bayview-landing)
- Frosthall (frosthall)
- Throgarthrum (throgarthrum)
- Krakensmaw (krakensmaw)
- Bayview Castle (bayviewcastle)
- Constantine (constantine)
- Southport (southport)
- Zugmurah (zugmurah)

============================================================
MISSING PORTRAIT FILES
============================================================
None found.

============================================================
POSSIBLE MISSING isPort: true TAGS
============================================================
- Foreharrow (foreharrow)
- Ganymede (ganymede)
- Bayview Castle (bayviewcastle)
- Zugmurah (zugmurah)

============================================================
DUPLICATE CITY IDS
============================================================
None found.

============================================================
COORDINATES OUTSIDE MAP BOUNDS
============================================================
None found.

============================================================
ALL CITIES
============================================================
- Beacon | Capital City | Not Port | id=beacon | x=821, y=339 | /portraits/BeaconArpadCapital.jpg
- Vanderhold | Major City | Port | id=vanderhold | x=877, y=897 | /portraits/VanderholdFreeCities.jpg
- Anchorhorn | Major City | Port | id=anchorhorn | x=1001, y=669 | /portraits/AnchorhornLythSouthernPort.jpg
- Caelmarisport | Capital City | Port | id=caelmarisport | x=492, y=225 | /portraits/CaelmarisportEssiaCapitol.jpg
- Castleforge | Capital City | Not Port | id=castleforge | x=1042, y=57 | /portraits/CastleforgeNorthernDwarvenCapitaloutside.jpg
- Aspengeld | Capital City | Not Port | id=aspengeld | x=493, y=93 | /portraits/AspengeldElvishDomainCapital.jpg
- Esemere | Major City | Port | id=esemere | x=698, y=954 | /portraits/EsemereFreeCities.jpg
- Fang Cove | Major City | Port | id=fang-cove | x=1132, y=541 | /portraits/FangCoveSundrinEmpireport.jpg
- Foundleinfall | Major City | Port | id=foundleinfall | x=1468, y=463 | /portraits/FoundleinfallSundrinEmpire.jpg
- Freehold | Major City | Port | id=freehold | x=284, y=911 | /portraits/FreeholdFreeCities.jpg
- Lastport | Major City | Port | id=lastport | x=720, y=623 | /portraits/LastportFreeCities.jpg
- Oasimere | Major City | Not Port | id=oasimere | x=687, y=859 | /portraits/OasimereFreeCities.jpg
- Tranquil Valley | Major City | Not Port | id=tranquil-valley | x=565, y=847 | /portraits/TranquilValleyFreeCities.jpg
- Hourglass | Major City | Not Port | id=hourglass | x=793, y=764 | /portraits/HourglassFreeCities.jpg
- Westhaven | Major City | Port | id=westhaven | x=231, y=696 | /portraits/WesthavenFreeCities.jpg
- Stormcliff | Capital City | Port | id=stormcliff | x=499, y=507 | /portraits/StormcliffSouthernDwarvenCapital.png
- The Nest | Major City | Port | id=the-nest | x=1289, y=968 | /portraits/TheNestDraconicTerritoriescapital.jpg
- Oasirath | Capital City | Not Port | id=oasirath | x=1321, y=799 | /portraits/OasirathKingdomoftheWastescapital.jpg
- SunDrak | Capital City | Not Port | id=sundrak | x=1317, y=421 | /portraits/SundrakSundrinEmpireCapital.jpg
- Aurelion's Reach | Major City | Not Port | id=aurelions-reach | x=659, y=219 | /portraits/Aurelion'sReach.png
- Preservation | Capital City | Not Port | id=preservation | x=1188, y=129 | /portraits/PreservationTheMagisterium'sCapital.jpg
- Outreach | Major City | Not Port | id=outreach | x=1258, y=312 | /portraits/OutreachTheWildlands.jpg
- Dawnguard | Major City | Not Port | id=dawnguard | x=636, y=503 | /portraits/Dawnguard.jpg
- Riverscrown | Capital City | Not Port | id=riverscrown | x=916, y=538 | /portraits/RiverscrownLyth'sCapital.jpg
- Rosewood | Major City | Not Port | id=rosewood | x=712, y=433 | /portraits/Rosewood.jpg
- Crownhill | Major City | Not Port | id=crownhill | x=797, y=483 | /portraits/UnderConstruction.jpg
- Rivercross | Major City | Not Port | id=rivercross | x=372, y=677 | /portraits/UnderConstruction.jpg
- Mountpass | Major City | Not Port | id=mountpass | x=409, y=649 | /portraits/Mountpass.jpg
- Shadowstone | Major City | Not Port | id=shadowstone | x=681, y=681 | /portraits/Shadowstone.jpg
- Newhaven | Major City | Not Port | id=newhaven | x=403, y=756 | /portraits/UnderConstruction.jpg
- Pleasant Valley | Major City | Not Port | id=pleasant-valley | x=333, y=772 | /portraits/UnderConstruction.jpg
- Desert's Edge | Major City | Not Port | id=deserts-edge | x=359, y=813 | /portraits/UnderConstruction.jpg
- Portsmith | Major City | Port | id=portsmith | x=989, y=404 | /portraits/Portsmith.jpg
- Athran Point | Major City | Not Port | id=athran-point | x=466, y=339 | /portraits/AthranPoint.jpg
